serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
ULVIASP05225`DAF0`N/A`N/A`N/A`N/A`GCC`DAF0
ULVIASP05228`TGH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05229`TGH0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05233`V6Q0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05252`SL00`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05253`SL00`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05260`TJK0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05271`G100`N/A`N/A`N/A`N/A`GCC`G100
ULVIASP05280`ZNE0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05281`DAF0`N/A`N/A`N/A`N/A`GCC`DAF0
ULVIASP05289`DB00`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05295`R0C0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05309`SVK0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05325`MH90`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05326`TGH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05327`TGH0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05357`P100`N/A`N/A`N/A`N/A`GCC`BHZ0
ULVIASP05394`HRT0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05406`TGH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05407`TGH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05408`TGH0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05409`TGH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05410`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05442`SYO0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05443`SYO0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05444`SYO0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05446`USX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05447`USX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05529`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05531`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05556`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05557`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05580`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05584`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05587`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05597`TFC0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05606`RIH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05607`RIH0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05609`UXI0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05616`TFC0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05622`WCM0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05623`WCM0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05624`WCM0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`WCM0
ULVIASP05630`TFC0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05661`RDT0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05662`RDT0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05665`RDT0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05670`UID0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05672`UNV0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05682`L1A0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05698`VSH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05699`VSH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05721`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05723`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05724`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05725`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05726`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05727`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05728`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05729`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05730`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05731`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05732`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05733`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05734`STX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05735`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05736`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05786`WBA0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05791`LBN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05796`RIH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05800`ZLL0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05804`SCZ0`N/A`N/A`N/A`N/A`GCC`SCZ0
ULVIASP05808`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05809`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05810`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05811`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05812`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05820`EV00`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05824`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05825`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05828`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05830`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05831`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05832`SMY0`gccsf01lf02`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05833`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05834`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05835`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05836`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05837`YKS0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05838`YKS0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05839`YKS0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05840`YKS0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05843`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05885`KN00`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05886`KN00`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05959`VFF0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05967`WDU0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05969`WDU0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05985`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05986`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05987`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05988`SMY0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP05989`SMY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP05999`SJX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP06001`SJX0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP06003`SJW0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06009`FBG0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06011`FBG0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP06013`GGA0`N/A`N/A`N/A`N/A`GCC`GGA0
ULVIASP06014`FBG0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06017`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06018`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06019`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06022`UGN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06023`UGN0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`N/A
ULVIASP06026`TES0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06027`TES0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06028`TES0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIASP06032`SHA0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIISD07`SCZ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVIIST07`SCZ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVISOD01`ZXN0`N/A`N/A`N/A`N/A`GCC`N/A
ULVJAMFD01`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVJAMFD02`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVJAMFD03`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVJAMFQ01`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVJAMFQ02`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVJAMFQ03`L4G0`N/A`N/A`N/A`N/A`GCC`LSH0
ULVKN00D01`KN00`N/A`N/A`N/A`N/A`GCC`N/A
ULVKN00D02`KN00`N/A`N/A`N/A`N/A`GCC`N/A
ULVLDAPP3`ZKQ0`gccsf01lf01`SWITCH-ROUTER`S3W02324-SC`GCC-CLU-PROD-02`GCC`ZKQ0
ULVLDAPR1`ZKQ0`N/A`N/A`S3W02148-SC`GCC-CLU-PROD-02`GCC`ZKQ0
ULVLOGP09`SMY0`N/A`N/A`SE116447V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP10`SMY0`N/A`N/A`SE116444V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP11`SMY0`N/A`N/A`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP12`SMY0`N/A`N/A`SE116447V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP13`SMY0`N/A`N/A`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP14`SMY0`gccdssfs5a`SWITCH`SE116445V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP15`SMY0`N/A`N/A`SE116444V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP16`SMY0`N/A`N/A`SE116447V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP17`SMY0`N/A`N/A`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVLOGP18`SMY0`N/A`N/A`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVNNCD1`USX0`N/A`N/A`SE397956V`GCC-CLU-DEV-02`GCC`USX0
ULVOCIP02`ZNE0`N/A`N/A`N/A`N/A`GCC`ZNE0
ULVOCPD001`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD002`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD003`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD004`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD005`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD006`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD007`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD008`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD009`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD010`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD011`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD012`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD013`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD014`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPD015`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ012`STX0`gccpp01lf02`SWITCH-ROUTER`SE123176V`GCC-CLU-DEV-FLEX-LINUX-HC-01`GCC`N/A
ULVOCPQ013`STX0`gccpp01lf02`SWITCH-ROUTER`SE123180V`GCC-CLU-DEV-FLEX-LINUX-HC-01`GCC`N/A
ULVOCPQ016`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ017`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ018`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ019`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ020`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ021`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ022`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ023`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ024`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ025`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ026`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ027`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ028`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ029`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ030`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ031`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOCPQ032`STX0`N/A`N/A`N/A`N/A`GCC`N/A
ULVOSXP01`L4G0`N/A`N/A`SE116449V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVOSXP02`L4G0`gccdssfs5a`SWITCH`SE116443V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVOSXP03`L4G0`N/A`N/A`SE116445V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVOSXP04`L4G0`N/A`N/A`SE116443V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVPAMVD01`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVD02`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVD03`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVR01`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVR02`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVR03`VA40`gccdssfs5a`SWITCH`N/A`N/A`GCC`N/A
ULVPAMVR04`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVR05`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVT01`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVT02`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVT03`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVT04`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPAMVT05`VA40`N/A`N/A`N/A`N/A`GCC`N/A
ULVPDTD01`ZLH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVPPP11`UTI0`N/A`N/A`N/A`N/A`GCC`N/A
ULVRBAFR01`RHG0`N/A`N/A`SE116445V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVRLGR01`RLG0`N/A`N/A`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`RLG0
ULVRLGR03`RLG0`N/A`N/A`SE116447V`GCC-CLU-PROD-UCS-LNX-01`GCC`RLG0
ULVRMSP02`SYU0`gccsf01lf01`SWITCH-ROUTER`SE300918V`GCC-CLU-V51-PROD-NFS-01`GCC`SYU0
ULVRMSR01`SYU0`N/A`N/A`SE116440V`GCC-CLU-DRPROD-UCS-01`GCC`SYU0
ULVSFTD3`SUH0`N/A`N/A`N/A`N/A`GCC`N/A
ULVSJXAP03`SJX0`N/A`N/A`SE116447V`GCC-CLU-PROD-UCS-LNX-01`GCC`SJX0
ULVSLIMD1`XAU0`N/A`N/A`S3W02160V`GCC-CLU-DEV-05`GCC`XAU0
ULVSLIMD2`XAU0`N/A`N/A`N/A`N/A`GCC`N/A
ULVSLIMQ2`XAU0`N/A`N/A`N/A`N/A`GCC`N/A
ULVTAY0D01`TAY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVTCALP10`VVD0`N/A`N/A`SE116445V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVTCAPR01`UTI0`gccdssfs5a`SWITCH`SE116443V`GCC-CLU-PROD-UCS-LNX-01`GCC`UTI0
ULVTCAPR02`UTI0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`UTI0
ULVTCAPR03`UTI0`N/A`N/A`N/A`N/A`GCC`UTI0
ULVTECQ01`TAY0`N/A`N/A`N/A`N/A`GCC`N/A
ULVTEHD01`TEH0`N/A`N/A`S3W02253V`GCC-CLU-DEV-06`GCC`TEH0
ULVTEHQ01`TEH0`N/A`N/A`S3W02252V`GCC-CLU-DEV-06`GCC`TEH0
ULVTEHT01`TEH0`N/A`N/A`S3W02252V`GCC-CLU-DEV-06`GCC`TEH0
ULVTRDWQ1`XTA0`N/A`N/A`S3W02101V`GCC-CLU-DEV-05`GCC`XTA0
ULVTRDWQ2`XTA0`N/A`N/A`SE397915V`GCC-CLU-DEV-HC-01`GCC`XTA0
ULVTRDWQ3`XTA0`N/A`N/A`S3W02160V`GCC-CLU-DEV-05`GCC`XTA0
ULVUAOMD3`DAF0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUAOMD4`DAF0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUGND1`UGN0`N/A`N/A`S3W02254V`GCC-CLU-DEV-06`GCC`UGN0
ULVUGND2`UGN0`N/A`N/A`SE397976V`GCC-CLU-DEV-03`GCC`UGN0
ULVUKWT31`UKW0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUKWT32`UKW0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUKWT33`UKW0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUTID23`UTI0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUTID24`UTI0`N/A`N/A`N/A`N/A`GCC`N/A
ULVUTIP02`UTI0`gccdssfs5a`SWITCH`N/A`N/A`GCC`N/A
ULVVARR01`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVVARR02`VAR0`gccsf01lf01`SWITCH-ROUTER`N/A`N/A`GCC`VAR0
ULVVARR03`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVVARR04`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVVARR05`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVVARR06`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVVARR07`VAR0`N/A`N/A`N/A`N/A`GCC`VAR0
ULVW24QQ01`ZAQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVW24QQ02`ZAQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVW24TT01`ZAQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVW24TT02`ZAQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVWSSR1`WBK0`N/A`N/A`SE130511V`GCC-CLU-DR-FLEX-METRO-GEN-02`GCC`WBK0
ULVXBLDD1`UNH0`N/A`N/A`SE397905V`GCC-CLU-DEV-06`GCC`UNH0
ULVXITRD1`UNH0`N/A`N/A`SE397914V`GCC-CLU-DEV-06`GCC`UNH0
ULVXITRQ1`UNH0`N/A`N/A`S3W02254V`GCC-CLU-DEV-06`GCC`UNH0
ULVXITRQ2`UNH0`N/A`N/A`S3W02368V`GCC-CLU-DEV-06`GCC`UNH0
ULVXPV0Q1`XPV0`N/A`N/A`N/A`N/A`GCC`N/A
ULVXPV0Q2`XPV0`N/A`N/A`N/A`N/A`GCC`N/A
ULVXQFPD1`XQF0`N/A`N/A`SE397913V`GCC-CLU-DEV-06`GCC`XQF0
ULVXQFPD2`XQF0`N/A`N/A`SE109599V`GCC-CLU-DEV-06`GCC`XQF0
ULVXTA0D001`XTA0`N/A`N/A`N/A`N/A`GCC`N/A
ULVXXVD16`XXV0`N/A`N/A`N/A`N/A`GCC`UF70
ULVXXVD17`XXV0`N/A`N/A`N/A`N/A`GCC`UF70
ULVXXVD31`XXV0`N/A`N/A`N/A`N/A`GCC`N/A
ULVXXVD32`XXV0`N/A`N/A`N/A`N/A`GCC`N/A
ULVXXVR01`XXV0`gccsf01lf01`SWITCH-ROUTER`S3W02290-SC`GCC-CLU-PROD-HC-01`GCC`XXV0
ULVXXVR02`XXV0`gccsf01lf01`SWITCH-ROUTER`SE300920V`GCC-CLU-V51-PROD-NFS-01`GCC`XXV0
ULVXXVR21`XXV0`N/A`N/A`SE300921V`GCC-CLU-V51-PROD-NFS-01`GCC`XXV0
ULVXXVR22`XXV0`gccsf01lf01`SWITCH-ROUTER`SE300919V`GCC-CLU-V51-PROD-NFS-01`GCC`XXV0
ULVXXVR23`XXV0`gccsf01lf01`SWITCH-ROUTER`SE300918V`GCC-CLU-V51-PROD-NFS-01`GCC`XXV0
ULVXXVR24`XXV0`gccsf01lf01`SWITCH-ROUTER`SE109315V`GCC-CLU-V51-PROD-NFS-01`GCC`XXV0
ULVYCL0D1`YCL0`N/A`N/A`N/A`N/A`GCC`N/A
ULVZBPXD05`SZD0`N/A`N/A`N/A`N/A`GCC`N/A
ULVZBPXD07`SZD0`N/A`N/A`N/A`N/A`GCC`N/A
ULVZBWBD1`SZD0`N/A`N/A`S3W02253V`GCC-CLU-DEV-06`GCC`SZD0
ULVZBWBD2`SZD0`N/A`N/A`SE397914V`GCC-CLU-DEV-06`GCC`SZD0
ULVZKQ0R03`ZKQ0`gccdssfs5a`SWITCH`SE116446V`GCC-CLU-PROD-UCS-LNX-01`GCC`N/A
ULVZKQ0T03`ZKQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVZKQ0T04`ZKQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULVZKQ0T05`ZKQ0`N/A`N/A`N/A`N/A`GCC`N/A
ULWAPCP2`WBK0`N/A`N/A`N/A`N/A`GCC`WBK0, ZLE0, UHV0
ULWAPCP4`WBK0`N/A`N/A`N/A`N/A`GCC`WBK0, ZLE0, UHV0
ULWTDAP11`TG30`N/A`N/A`N/A`N/A`GCC`N/A
ULWTDAP12`TG30`N/A`N/A`N/A`N/A`GCC`N/A
ULWTDTP11`TG30`N/A`N/A`N/A`N/A`GCC`N/A
ULWTDTP12`TG30`N/A`N/A`N/A`N/A`GCC`N/A
USACSP1`YNP0`N/A`N/A`N/A`N/A`GCC`YNP0
USACSP2`YNP0`N/A`N/A`N/A`N/A`GCC`YNP0
USAPPD401`ZLU0`N/A`N/A`N/A`TOVCS02`GCC`ZLU0
USAPPD402`ZLU0`rlcagu075sr01csfa`SWITCH-ROUTER`N/A`TOVCS02`GCC`ZLU0
USAPPD403`ZLU0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`TOVCS02`GCC`ZLU0
USAPPD404`ZLU0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`TOVCS02`GCC`ZLU0
USAPPD405`ZLU0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`TOVCS02`GCC`ZLU0
USAPPP601`ZLU0`N/A`N/A`N/A`TOVCS56`GCC`ZLU0
USAPPP602`ZLU0`N/A`N/A`N/A`TOVCS56`GCC`ZLU0
USAPPR101`ZLU0`gccsf02lf05`SWITCH-ROUTER`N/A`N/A`GCC`ZLU0
USAPPR102`ZLU0`gccsf02lf05`SWITCH-ROUTER`N/A`N/A`GCC`ZLU0
USAPPR103`ZLU0`gccsf02lf05`SWITCH-ROUTER`N/A`N/A`GCC`ZLU0
USAPPR201`ZLU0`N/A`N/A`N/A`GCCVCS171`GCC`N/A
USAPPR202`ZLU0`N/A`N/A`N/A`GCCVCS171`GCC`N/A
USBWD11`ZUZ0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`N/A`GCC`ZUZ0
USBWD12`ZUZ0`rlcagu075sr01csfa`SWITCH-ROUTER`N/A`N/A`GCC`ZUZ0
USBWQ11`ZUZ0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`N/A`GCC`ZUZ0
USBWQ13`ZUZ0`N/A`N/A`N/A`N/A`GCC`ZUZ0
USBWQ14`ZUZ0`rlcagu075sr01csfd`SWITCH-ROUTER`N/A`N/A`GCC`ZUZ0
USBWR13`ZUZ0`N/A`N/A`N/A`N/A`GCC`ZUZ0
USBWR14`ZUZ0`N/A`N/A`N/A`N/A`GCC`ZUZ0
USCMCLSR1`YWY0`N/A`N/A`N/A`N/A`GCC`YWY0,VIK0,YVR0
USCMDBR1`YQY0`N/A`N/A`N/A`N/A`GCC`YQY0
USCMMQR1`DT00`N/A`N/A`N/A`N/A`GCC`DT00
USCMRATSD1`YQY0`N/A`N/A`N/A`N/A`GCC`YQY0
USCMRATSQ1`YQY0`N/A`N/A`N/A`N/A`GCC`YQY0
USDBRSR1`WHW0`N/A`N/A`N/A`N/A`GCC`WHW0
USICTGCC1`VWN0`N/A`N/A`N/A`N/A`GCC`VWN0
USICTGCC2`VWN0`gccsfrms01`SWITCH-ROUTER`N/A`N/A`GCC`VWN0
USLDCR1`ZKQ0`gccsf01`SWITCH-ROUTER`N/A`N/A`GCC`ZKQ0
USRATSD1-LDOM`YQY0`N/A`N/A`N/A`N/A`GCC`YQY0
USVASRP2`ZLU0`N/A`N/A`N/A`N/A`GCC`ZLU0
USVASRT1`ZLU0`N/A`N/A`USAPPR103`N/A`GCC`ZLU0
USVBLDLD1`ZLU0`N/A`N/A`USAPPD405`N/A`GCC`ZLU0
USVBLDLD2`ZLU0`N/A`N/A`USAPPD405`N/A`GCC`ZLU0
USVBWADMR3`ZUZ0`N/A`N/A`USBWR13`N/A`GCC`ZUZ0,AR10
