serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
SE015701`XCY0`c02146bs1`SWITCH`N/A`N/A`101 DUNDAS ST W AKA 570 BAY ST`XCY0
SE014348`XCY0`c05112bs1`SWITCH`N/A`N/A`101 THE MALL`XCY0
SE013712`XCY0`c05842bs1`SWITCH`N/A`N/A`1011 GERRARD STREET EAST`XCY0
SE014274`XCY0`w07600bs1`SWITCH`N/A`N/A`10TH AVENUE & SASAMAT STREET`XCY0
APPTEST1`ZDM0`u42364is4`SWITCH`N/A`N/A`111 WASHINGTON`ZDM0
RIBMFM2`ZDM0`u42364is6`SWITCH`N/A`N/A`111 WASHINGTON`N/A
RIBMZT1`ZDM0`u42364is4`SWITCH`N/A`N/A`111 WASHINGTON`ZDM0
S3W07961`XXA0`N/A`N/A`N/A`N/A`111 WASHINGTON`XXA0
SE104504`ZCS0`N/A`N/A`N/A`N/A`111 WASHINGTON`ZCS0
SE106440`YLX0`N/A`N/A`N/A`DEV_CLU`111 WASHINGTON`YLX0
SE110313`ZNE0`N/A`N/A`N/A`N/A`111 WASHINGTON`ZNE0
SE111727`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE111728`ZCS0`N/A`N/A`N/A`N/A`111 WASHINGTON`ZCS0
SE111729`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE111730`ZCS0`N/A`N/A`N/A`RKE0_HYPERV01A`111 WASHINGTON`ZCS0
SE111731`RKE0`N/A`N/A`N/A`SE111730CLU`111 WASHINGTON`RKE0
SE111734`ZCS0`N/A`N/A`N/A`N/A`111 WASHINGTON`ZCS0
SE114922`ZOE0`N/A`N/A`SE107247`PROD_CLU`111 WASHINGTON`ZOE0
SE114923`ZOE0`N/A`N/A`SE106438`PROD_CLU`111 WASHINGTON`ZOE0
SE122713`WIO0`N/A`N/A`SE106437`PROD_CLU`111 WASHINGTON`WIO0
SE123235`XBW0`N/A`N/A`SE106438`PROD_CLU`111 WASHINGTON`XBW0
SE123236`XBW0`N/A`N/A`SE106437`PROD_CLU`111 WASHINGTON`XBW0
SE127592`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE127593`RKE0`N/A`N/A`N/A`SE127593CLU`111 WASHINGTON`RKE0
SE127594`RKE0`N/A`N/A`N/A`SE127593CLU`111 WASHINGTON`RKE0
SE128811`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE129899`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE129900`RKE0`N/A`N/A`N/A`N/A`111 WASHINGTON`RKE0
SE130192`ZCS0`N/A`N/A`N/A`N/A`111 WASHINGTON`ZCS0
SE130385`ZNE0`N/A`N/A`SE105486`PROD_CLU`111 WASHINGTON`ZNE0
SE013756`XCY0`w07379bs1`SWITCH`N/A`N/A`1139 MAYOR MAGRATH DRIVE`XCY0
SE015627`XCY0`w01154bs1`SWITCH`N/A`N/A`120TH ST`XCY0
SE014015`XCY0`e00651cs1`SWITCH`N/A`N/A`1260 LEBOURGNEUF`XCY0
